Canton,Date,Time
AG,2020-03-30,15:00
AI,2020-03-30,12:00
AR,2020-03-30,18:00
BE,2020-03-30,00:00
BL,2020-03-30,00:00
BS,2020-03-30,10:00
FR,2020-03-30,00:00
GE,2020-03-30,12:00
GL,2020-03-30,13:30
GR,2020-03-30,00:00
JU,2020-03-30,16:00
LU,2020-03-30,11:00
NE,2020-03-30,14:00
NW,2020-03-30,17:15
OW,2020-03-30,00:00
SG,2020-03-30,00:00
SH,2020-03-30,07:00
SO,2020-03-29,00:00
SZ,2020-03-30,00:00
TG,2020-03-30,00:00
TI,2020-03-30,08:00
UR,2020-03-30,00:00
VD,2020-03-29,00:00
VS,2020-03-30,00:00
ZG,2020-03-30,08:00
ZH,2020-03-30,17:00
