Date,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,CH
2020-03-06,,,,0,,,,0,,,,,,,,,,,,,,,,,,0,
2020-03-07,,,,0,,,,0,,,,,,,,,,,,,,,,,,0,
2020-03-08,,,,0,,,,0,,,,,,,,,,,,,,,,,,0,
2020-03-09,,,,0,,,,1,,,,,,,,,,,,,,,,,,0,
2020-03-10,,,,0,,,,2,,,,,,,,,,,,,,,,,,0,
2020-03-11,,,,0,,,,2,,,,,,,,,,,,,,,,,,0,
2020-03-12,,,,0,,,,2,,,,,,,,,,,,,,,,,,0,
2020-03-13,,,,0,,,,2,,,,,,,,,,,,,,,2,1,,0,
2020-03-14,,,,0,,,,2,,,,,,,,,,,,,,,3,1,,,
2020-03-15,,,,0,,2,,4,,,,,,,,,,,,,6,,4,1,,,
2020-03-16,,,,1,,4,,4,,,,,,,,,,,,,8,,5,1,,1,
2020-03-17,,,,,,4,,4,,,,,,,,,,,,,,,5,3,,,
2020-03-18,,,,,,4,,5,,,,,,,,,,,,,14,,5,3,,,
2020-03-19,,,,,,4,1,5,,,,,,,,,,,,,15,,7,4,,3,
2020-03-20,,,,2,2,4,1,8,,1,,,,,,,,,,,,,12,4,,3,
2020-03-21,1,,1,3,3,5,1,9,,3,,,2,,,,,,,,28,,15,9,,3,83
2020-03-22,1,,1,3,3,5,1,9,,5,,,2,,,,,,,,37,,15,10,,3,95
2020-03-23,1,,1,5,3,5,1,9,,6,,,2,,,,,1,,,48,,17,12,,5,116
2020-03-24,1,,2,6,3,5,1,9,,6,,,2,,,1,,1,,,53,,16,12,,5,123
